SampleID,W1_m,W2_m,R_m,t_m,Mass_kg,MaxVonMisesStress_MPa,AbaqusRuntime_s
45,0.63234811,0.11312599,0.06096138,0.01005422,42.11647007,55.8507,34.71799994
46,0.34265537,0.14771829,0.04620642,0.01178429,12.22434246,82.436816,15.67499995
47,0.33315933,0.11390703,0.06252654,0.01019696,10.88709291,65.88314,17.30900002
48,0.42600443,0.14374475,0.05294856,0.01484165,25.8738073,51.722464,19.84300017
49,0.33495593,0.10156287,0.03018668,0.01959455,21.6014467,39.265392,15.64499998
50,0.56341656,0.11375341,0.04763031,0.01056904,34.81271873,58.7605,26.51099992
51,0.69194115,0.11647007,0.0510167,0.01536038,77.26852431,38.858804,41.07400012
52,0.54349776,0.13611533,0.0636754,0.01146029,34.37527787,55.137368,26.65499997
53,0.44462746,0.1337698,0.06603797,0.01509332,29.46123702,43.656824,27.64700007
54,0.50193704,0.13756769,0.06051127,0.01803847,45.54818754,36.7184,22.30500007
55,0.55500177,0.10808908,0.04731539,0.01344125,43.08862259,45.141724,28.31200004
56,0.31883385,0.11022799,0.0558742,0.01772761,17.26469996,39.18908,15.39100003
57,0.37642175,0.14220581,0.06642949,0.01496855,19.79011487,50.685788,17.79100013
58,0.40769697,0.13627779,0.05692224,0.01182627,18.94659654,61.74612,21.43899989
59,0.6867723,0.11050293,0.05706357,0.01800973,89.50034339,31.185396,41.20800018
60,0.65499507,0.13282312,0.04509674,0.01764513,78.47811422,38.0552,34.81100011
61,0.6798153,0.12268419,0.05007868,0.01711259,82.73022117,36.083748,43.13899994
62,0.34767942,0.13981426,0.06266464,0.01272202,14.03871143,63.156648,17.78999996
63,0.37163073,0.11503466,0.05535263,0.01116134,15.13216747,59.974196,19.82000017
64,0.54579318,0.13584794,0.04130621,0.0167741,50.6889621,43.487812,28.21199989
65,0.35235295,0.14630885,0.04897109,0.01027396,11.45770845,89.145512,17.68599987
66,0.40462444,0.14891458,0.05139035,0.01443322,22.15227087,57.504656,19.51999998
67,0.45432909,0.12384687,0.06296496,0.01548257,32.09256838,40.501072,22.23300004
68,0.6962696,0.13799085,0.05149579,0.01203325,60.60239975,53.692924,39.11599994
69,0.67856498,0.12164699,0.04011206,0.01555966,74.94738595,42.515104,37.23500013
70,0.57094471,0.10064182,0.03132465,0.01338322,45.68289029,50.01548,28.93899989
71,0.62924465,0.13061802,0.0676446,0.01557916,63.91494618,37.533616,36.63900018
72,0.46192473,0.14122084,0.03873321,0.01947593,40.75404351,41.822032,21.99600005
73,0.30147255,0.14569165,0.06141087,0.01872361,14.24988175,52.79478,15.42199993
74,0.58050988,0.10993652,0.05189613,0.01369326,48.13487124,43.094136,28.64700007
75,0.51328232,0.11364613,0.04194403,0.01371169,37.15793176,47.969328,24.12100005
